kepoi_name,koi_period,koi_prad,koi_depth,planet_prob
K02450.02,7.1931193,1.12,125.6,0.9860152328032029
K01582.01,186.4361811,11.32,4347.0,0.9859370614419085
K07076.01,16.2347636,1.28,115.5,0.9858671627011125
K06646.01,7.1356633,1.38,255.5,0.9858551264199874
K03340.01,8.9539656,0.84,70.4,0.9857522640958225
K06259.02,7.18864064,1.3,133.5,0.9856831932209813
K00607.01,5.89399142,11.16,10993.0,0.9856489600957464
K01613.03,20.605501,0.85,37.1,0.9856202798294457
K01552.01,77.63424586,9.4,16612.0,0.9856195059666061
K03004.02,7.03965141,2.72,268.7,0.9855558281988893
K06475.01,4.84505985,1.54,298.4,0.9855462204720437
K04207.01,0.701944362,0.8,210.8,0.9854720792694529
K04992.01,12.5747207,1.45,323.3,0.9854227124735654
K04259.01,0.909127736,0.98,98.7,0.9854165148746913
K02968.01,10.16435076,1.99,37.7,0.985406238155191
K01169.01,0.689210173,1.32,195.0,0.9852478734681647
K02706.01,3.09756897,1.75,83.3,0.9852124821466469
K03137.01,1.332035996,0.85,136.8,0.9851330853154909
K03307.01,10.5071781,1.41,271.8,0.9851221871291328
K04755.01,3.74318005,1.75,237.5,0.9850986150043803
K06178.01,13.0327301,1.64,242.3,0.9850451949581496
K03420.02,12.5014905,2.24,220.1,0.9849562262142251
K01393.01,1.694740233,2.12,1446.8,0.9849444467776377
K04700.01,3.83488354,1.2,243.0,0.9848579172277679
K02610.01,24.1073172,2.74,104.2,0.984753901837768
K01910.02,18.3848331,1.15,151.8,0.9846226545460947
K04900.01,6.6716723,1.27,154.4,0.984599129509887
K04644.01,3.44928111,1.23,237.0,0.9845044345323087
K01619.01,20.6654374,0.66,100.4,0.9844647577096745
K01784.01,5.007414194,8.8,4413.9,0.9843947445565828
K07400.01,4.15736472,1.09,200.7,0.9843741169874204
K04595.01,0.597018404,1.09,245.4,0.9842202286910666
K03434.01,10.2856373,1.24,134.9,0.9841769942945962
K04567.02,4.67250377,1.11,79.6,0.9839197883234184
K04698.01,8.5275894,1.28,112.5,0.9837814953414291
K07106.01,5.01880305,1.08,98.7,0.9836659812214034
K04877.01,5.19206571,0.99,66.6,0.9836099863755391
K04674.01,4.84350003,0.9,50.2,0.9835796755426531
K04123.01,44.6226725,1.73,131.9,0.983570515980032
K03258.01,40.3511707,1.88,533.5,0.9835349868431448
K02217.01,37.8034121,2.95,678.1,0.9835101923237228
K04037.01,215.956008,3.36,392.7,0.9834241541210156
K06132.01,33.3200908,13.0,6186.9,0.9834066086590667
K01681.01,6.93910337,1.41,614.7,0.9833667388385743
K05769.01,7.58062893,0.97,86.1,0.9833372111466812
K00686.01,52.513548727,12.43,14252.3,0.9829295733619119
K03354.01,11.5706005,1.33,211.9,0.9829021130020569
K04737.01,7.79534033,1.07,102.1,0.9828222501326993
K04759.01,17.7662938,1.54,181.1,0.982811643686095
K00750.03,14.516741,1.45,227.2,0.9827933096448181
K03165.01,4.11754421,1.02,34.3,0.9826325933850288
K04460.01,284.727213,2.02,355.3,0.9826320299210901
K03429.01,15.8283833,1.8,227.5,0.9826089915404331
K04711.01,4.3638313,1.08,194.1,0.9825928474296908
K04754.01,7.08757462,1.28,187.0,0.9825659492479452
K06793.01,3.62657392,0.79,98.5,0.9825137081040008
K07510.01,5.60682001,1.04,150.7,0.9824315799230852
K06355.01,4.37198905,0.93,103.7,0.9822994861734969
K06601.01,17.9925973,1.62,198.5,0.9822821305811619
K00075.01,105.8817667,10.16,1556.3,0.9820250048281449
K01239.01,0.783276173,1.98,264.7,0.9819960820240378
K04601.01,7.94004281,0.98,81.9,0.9819268395211797
K01906.01,8.710442022,3.61,1196.4,0.9818479629236931
K03145.02,0.977311489,1.06,250.7,0.9817266156049764
K01764.01,12.681733929,7.25,5879.1,0.9817134508307725
K04393.01,1.62888267,0.92,130.9,0.9817058302014895
K04457.01,79.334347,1.56,164.9,0.9816992898139134
K06209.01,12.7143635,2.2,524.8,0.9813495305460919
K01942.02,2.433703498,1.66,258.3,0.9812996388394621
K03495.01,17.6062701,1.72,146.2,0.981127519222271
