kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_kepmag
6032920,K07757.01,,FALSE POSITIVE,10.828825742,134.9251984,0.7275,92.1,0.76,0.137,4.8,121.0,5862.0,4.584,0.785,13.492
8409295,K03404.01,Kepler-1489 b,CONFIRMED,82.292865,212.0314,7.048,371.1,1.82,0.195,13.0,16.0,5626.0,4.467,0.957,14.828
7131760,K03407.01,Kepler-1490 b,CONFIRMED,92.436978,163.5794,6.432,955.2,2.89,0.943,17.8,15.0,5595.0,4.606,0.741,15.449
11922778,K03408.01,,CANDIDATE,65.427645,176.2733,9.404,319.0,1.65,0.004,15.6,21.0,6014.0,4.504,0.926,14.821
9468382,K03409.01,,FALSE POSITIVE,11.08260553,136.6562,6.23,601.2,7.34,0.966,51.3,127.0,5125.0,3.674,2.196,13.566
6145201,K03475.01,,FALSE POSITIVE,22.7832776,145.53344,4.194,120.2,1.33,0.626,18.2,57.0,6517.0,4.382,1.159,12.972
5986209,K03476.01,,FALSE POSITIVE,23.737952838,147.006678,8.50818,95883.6,53.27,1.004,1221.2,0.0,5559.0,4.394,1.0,15.147
9226339,K03477.01,,FALSE POSITIVE,21.4618453,132.2156,5.675,122.2,19.89,1.139,13.4,63.0,5806.0,4.283,1.213,13.798
6525209,K03479.01,,FALSE POSITIVE,75.13194883,184.429462,20.8729,122372.0,26.21,0.487,3625.5,17.0,5365.0,4.586,0.729,14.658
2975770,K01788.02,,CANDIDATE,369.069345,298.3962,5.832,945.9,3.07,0.929,11.7,4.0,4855.0,4.542,0.778,14.521
5534965,K03557.01,,FALSE POSITIVE,243.82122131,159.4958018,10.9312,56799.3,56.63,1.029,2804.3,6.0,6370.0,4.228,1.316,13.297
5512513,K07730.01,,FALSE POSITIVE,0.77459856,132.3192077,2.71,,,,,1334.0,,,,14.737
9965206,K03558.01,,FALSE POSITIVE,16.227548674,136.6397289,5.08666,192688.0,46.52,0.795,1870.0,56.0,5297.0,4.587,0.795,15.901
4247023,K03559.01,,FALSE POSITIVE,47.189437,148.044865,11.555,370871.0,66.71,0.5357,804.0,,5458.0,4.381,0.972,15.624
